col0,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,mapeo osm estados,mapeo osm municipios,mapeo osm colonia,NUEVO MAPEO OSM,Es el mismo mapeo?
1351,Ogan Ilir,Sumatra Selatan,ogan-ilir,76,3,,-3.1155652;104.3405894,,lamudi-ID-1351,,#N/A,R10713041,#N/A,R10713041,FALSE
72,Kepulauan Riau,,kepulauan-riau,,2,,1.3047487;104.8194868,,lamudi-ID-72,R3797244,R3797244,#N/A,#N/A,R3797244,TRUE
73,Sulawesi Tenggara,,sulawesi-tenggara,,2,,-3.9852339;121.8907623,,lamudi-ID-73,R2388668,R2388668,#N/A,#N/A,R2388668,TRUE
74,Kalimantan Selatan,,kalimantan-selatan,,2,,-2.8855248;115.1300407,,lamudi-ID-74,R2388615,R2388615,#N/A,#N/A,R2388615,TRUE
75,Sulawesi Selatan,,sulawesi-selatan,,2,,-3.97374;120.0266993,,lamudi-ID-75,R2388667,R2388667,#N/A,#N/A,R2388667,TRUE
76,Sumatra Selatan,,sumatra-selatan,,2,,-3.382747;104.8765789,,lamudi-ID-76,,R2390842,#N/A,#N/A,R2390842,FALSE
77,Jawa Barat,,jawa-barat,,2,,-6.8478335;107.672866,,lamudi-ID-77,R2388361,R2388361,#N/A,#N/A,R2388361,TRUE
78,Kalimantan Barat,,kalimantan-barat,,2,,0.2663378;110.9271112,,lamudi-ID-78,R2388616,R2388616,#N/A,#N/A,R2388616,TRUE
79,Nusa Tenggara Barat,,nusa-tenggara-barat,,2,,-8.5317191;117.1143285,,lamudi-ID-79,R1615622,R1615622,#N/A,#N/A,R1615622,TRUE
80,Papua Barat,,papua-barat,,2,,-1.8971871;132.908013,,lamudi-ID-80,R4521145,"R4521145,R14905625",#N/A,#N/A,"R4521145,R14905625",FALSE
81,West Sulawesi,,sulawesi-barat,,2,,-2.726598;119.1351818,,lamudi-ID-81,R2388669,R2388669,#N/A,#N/A,R2388669,TRUE
82,Sumatra Barat,,sumatra-barat,,2,,-0.5429305;100.5064664,,lamudi-ID-82,R2390841,R2390841,#N/A,#N/A,R2390841,TRUE
83,Yogyakarta,,yogyakarta,,2,,-7.871528;110.3909726,,lamudi-ID-83,R5615250,R5616105,#N/A,#N/A,R5616105,FALSE
84,Singapore,,singapore,,2,,1.3;103.8,,lamudi-ID-84,,#N/A,#N/A,#N/A,#N/A,#N/A
1001,Aceh Barat,Aceh,aceh-barat,50,3,,4.2738758;96.1753339,,lamudi-ID-1001,R8912350,#N/A,R8912350,#N/A,R8912350,TRUE
1002,Aceh Barat Daya,Aceh,aceh-barat-daya,50,3,,3.77004;96.8376853,,lamudi-ID-1002,R8912352,#N/A,R8912352,#N/A,R8912352,TRUE
1003,Aceh Besar,Aceh,aceh-besar,50,3,,5.4162059;95.5155422,,lamudi-ID-1003,R8930394,#N/A,R8930394,#N/A,R8930394,TRUE
1004,Aceh Jaya,Aceh,aceh-jaya,50,3,,4.8102148;95.6607934,,lamudi-ID-1004,R8912351,#N/A,#N/A,#N/A,#N/A,#N/A
1005,Aceh Selatan,Aceh,aceh-selatan,50,3,,3.2017897;97.3371355,,lamudi-ID-1005,R8922306,#N/A,#N/A,#N/A,#N/A,#N/A
1006,Aceh Singkil,Aceh,aceh-singkil,50,3,,2.2983873;97.6635188,,lamudi-ID-1006,,#N/A,R8922305,#N/A,R8922305,FALSE
1007,Aceh Tamiang,Aceh,aceh-tamiang,50,3,,4.2420827;98.0300829,,lamudi-ID-1007,R8922310,#N/A,R8922310,#N/A,R8922310,TRUE
1008,Aceh Tengah,Aceh,aceh-tengah,50,3,,4.5816603;96.8445413,,lamudi-ID-1008,R8931154,#N/A,R8931154,#N/A,R8931154,TRUE
1009,Aceh Tenggara,Aceh,aceh-tenggara,50,3,,3.6547866;97.5817208,,lamudi-ID-1009,R8922308,#N/A,#N/A,#N/A,#N/A,#N/A
1010,Aceh Timur,Aceh,aceh-timur,50,3,,4.8440623;97.7109539,,lamudi-ID-1010,R8931988,#N/A,R8931988,#N/A,R8931988,TRUE
1011,Aceh Utara,Aceh,aceh-utara,50,3,,5.0694948;97.1313386,,lamudi-ID-1011,R4559902,#N/A,R4559902,#N/A,R4559902,TRUE
1012,Banda Aceh,Aceh,banda-aceh,50,3,,5.532169;95.3506418,,lamudi-ID-1012,,#N/A,R5978331,#N/A,R5978331,FALSE
1013,Bener Meriah,Aceh,bener-meriah,50,3,,4.7695873;96.8387723,,lamudi-ID-1013,R8931139,#N/A,#N/A,#N/A,#N/A,#N/A
1014,Bireuen,Aceh,bireuen,50,3,,5.1722942;96.5695754,,lamudi-ID-1014,R5474497,#N/A,R5474497,#N/A,R5474497,TRUE
1015,Gayo Lues,Aceh,gayo-lues,50,3,,4.0636505;97.2320743,,lamudi-ID-1015,R8922309,#N/A,R8922309,#N/A,R8922309,TRUE
1016,Langsa,Aceh,langsa,50,3,,4.4683406;97.9633953,,lamudi-ID-1016,R8922311,#N/A,R8922311,#N/A,R8922311,TRUE
1017,Lhokseumawe,Aceh,lhokseumawe,50,3,,5.1801877;97.117961,,lamudi-ID-1017,R4126220,#N/A,R4126220,#N/A,R4126220,TRUE
