aws_region_name,aws_sub_region_name,aws_municipality_name,aws_neighborhood_name,display_name,search_method
"","Jawa Tengah","Pemalang","Pulosari","Pulosari, Pemalang, Jawa Tengah, Jawa, Indonesia",""
"","Lampung","Pringsewu","Sukoharjo","Sukoharjo Iii, Pringsewu, Lampung, Sumatera, Indonesia",""
"","Jawa Timur","Probolinggo Kabupaten","Gending","Gending, Probolinggo, Jawa Timur, Jawa, 67272, Indonesia",""
"","Jawa Barat","Sumedang","Buahdua","Buahdua, Sumedang, Jawa Barat, Jawa, Indonesia",""
"","Sumatera Barat","Padang Pariaman","Batang Anai","Batang Anai, Kayu Tanam, X Koto, Padang Pariaman, Sumatera Barat, Sumatera, Indonesia",""
"","Sumatera Barat","Payakumbuh","Payakumbuh Barat","Payakumbuh, Ranah, Payakumbuh, Sumatera Barat, Sumatera, 26261, Indonesia",""
"","Jawa Barat","Sukabumi Kabupaten","Nagrak","Nagrak, Kab Sukabumi, Jawa Barat, Jawa, 43356, Indonesia",""
"","Jawa Timur","Pasuruan Kabupaten","Lumbang","Lumbang, Pasuruan, Jawa Timur, Jawa, Indonesia",""
"","Jawa Tengah","Purworejo","Pituruh","Pituruh, Purworejo, Jawa Tengah, Jawa, Indonesia",""
"","Riau","Dumai","Bukit Kapur","Bukit Kapur, Dumai, Riau, Sumatera, 28882, Indonesia",""
"JABODETABEK","Banten","Tangerang","Sepatan Timur","Sepatan Timur, Kabupaten Tangerang, Banten, Jawa, Indonesia",""
"","Jawa Timur","Surabaya","Sawahan","Sawahan, Surabaya ꦱꦸꦫꦧꦪ, Jawa Timur, Jawa, Indonesia",""
"","Banten","Tangerang Selatan","Pondok Aren","Pondok Aren, Tangerang Selatan, Banten, Jawa, Indonesia",""
"","Jawa Barat","Bekasi Kota","Bekasi Barat","Bekasi Barat, Jalan Tol Jakarta–Cikampek, Bumi Satria Kencana, Lagoon, Kayuringinjaya, Daerah Khusus ibukota Jakarta, Jawa Barat, Jawa, 17148, Indonesia",""
"","DKI Jakarta","Jakarta Selatan","Pesanggrahan","Pesanggrahan, Jakarta Selatan, Daerah Khusus ibukota Jakarta, Jawa, Indonesia",""
"","Daerah Istimewa Yogyakarta","Sleman","","Sleman, Triharjo, Sleman, Daerah Istimewa Yogyakarta, Jawa, 55514, Indonesia",""
"","Jawa Tengah","Boyolali","Simo","Simo, Boyolali, Jawa Tengah, Jawa, 57376, Indonesia",""
"","Banten","Lebak","Maja","Maja, Jalan Raya Citeras - Tigaraksa, Mekarbaru, Lebak, Banten, Jawa, 15370, Indonesia",""
"","Sumatera Utara","Medan","Medan Area","Medan Area, Kota Medan, Sumatera Utara, Sumatera, Indonesia",""
"","Sumatera Utara","Binjai","Binjai Kota","Binjai, Kota Binjai, Sumatera Utara, Sumatera, 20712, Indonesia",""
"","Kalimantan Tengah","Kapuas","","Kapuas, Kalimantan Tengah, Indonesia",""
"","Jawa Barat","Tasikmalaya Kota","Cipedes","Cipedes, Tasikmalaya, Jawa Barat, Jawa, Indonesia",""
"","Kalimantan Barat","Pontianak Kabupaten","Siantan","http://nominatim.mad.mitulagroup.net/id/ui/search.html?q=Siantan%2C+Pontianak+Kabupaten%2C+Kalimantan+Barat","not_found"
"","Daerah Istimewa Yogyakarta","Gunung Kidul","Patuk","Patuk, Kabupaten Gunung Kidul, Daerah Istimewa Yogyakarta, Jawa, 55862, Indonesia",""
"JABODETABEK","Banten","Tangerang Kabupaten","Jambe","Jambe, Kabupaten Tangerang, Banten, Jawa, Indonesia",""
"","Sumatera Utara","Samosir","","Pulau Samosir, Samosir, Sumatera Utara, Sumatera, Indonesia",""
"","Jawa Timur","Probolinggo Kabupaten","Paiton","Paiton, Probolinggo, Jawa Timur, Jawa, Indonesia",""
"","Lampung","Lampung Selatan","Tanjung Sari","Tanjung Sari, Lampung Selatan, Lampung, Sumatera, Indonesia",""
"","Nusa Tenggara Timur","Ende","Ende Timur","Ende, Nusa Tenggara Timur, Nusa Tenggara, 86311, Indonesia",""
"","Jawa Timur","Trenggalek","Gandusari","Gandusari, Trenggalek, Jawa Timur, Jawa, 66372, Indonesia",""
